# text|difficulty|description|synonyms
Дружба|hard|близькі довірливі стосунки|товаришування, приязнь
Свобода|hard|відсутність примусу|воля, незалежність
Совість|hard|внутрішнє відчуття моралі|сумління, мораль
Відчай|hard|стан повної безнадії|безнадія, розпач
Надія|hard|очікування доброго результату|сподівання, віра
Гордість|hard|почуття власної гідності|самоповага, честь
Зрада|hard|порушення довіри|віроломство, підступ
Перемога|hard|успіх у боротьбі|тріумф, виграш
Поразка|hard|невдача у боротьбі|програш, фіаско
Честь|hard|моральна гідність людини|гідність, репутація
Справедливість|hard|чесне ставлення до людей|правосуддя, чесність
Терпіння|hard|здатність чекати спокійно|витримка, стійкість
Спогад|hard|збережена в памʼяті подія|згадка, памʼять
Думка|hard|результат мислення|ідея, міркування
Мрія|hard|бажаний образ майбутнього|прагнення, фантазія
Звичка|hard|стала повторювана дія|навичка, рутина
Задоволення|hard|приємне відчуття виконання бажання|втіха, насолода
Страждання|hard|сильний фізичний або душевний біль|мука, біль
Радість|hard|сильне приємне почуття|щастя, втіха
Самотність|hard|стан без близького спілкування|ізоляція, самота
Віра|hard|переконання без доказів|довіра, переконання
Любов|hard|глибока прихильність|кохання, привʼязаність
Ненависть|hard|сильна ворожість|злість, неприязнь
Сумнів|hard|невпевненість у правильності|вагання, підозра
Розчарування|hard|втрата очікуваної надії|прикрість, зневіра
Талант|hard|природна здібність|обдарованість, хист
Уява|hard|здатність створювати образи|фантазія, вимисел
Натхнення|hard|творчий внутрішній підйом|порив, запал
Знання|hard|засвоєна інформація|обізнаність, досвід
Освіта|hard|система навчання людини|навчання, просвіта
Наука|hard|система знань і досліджень|дослідження, пізнання
Мистецтво|hard|творче відображення світу|творчість, культура
Музика|hard|мистецтво звуків|мелодія, гармонія
Театр|hard|сценічне мистецтво|сцена, вистава
Кіно|hard|мистецтво рухомих зображень|фільм, кінематограф
Поезія|hard|художнє мовлення у віршах|вірші, лірика
Роман|hard|великий прозовий твір|книга, проза
Пригода|hard|незвичайна подія|авантюра, випадок
Історія|hard|минулі події людства|минувшина, літопис
Майбутнє|hard|час після теперішнього|прийдешнє, перспектива
Минуле|hard|час до теперішнього|минувшина, історія
Сучасність|hard|теперішня епоха|сьогодення, теперішність
Доля|hard|перебіг життєвих подій|фатум, призначення
Випадковість|hard|непередбачувана подія|збіг, випадок
Час|hard|тривалість подій|мить, період
Простір|hard|місце існування предметів|обшир, вимір
Безкінечність|hard|відсутність межі|нескінченність, вічність
Вічність|hard|безмежна тривалість|безкінечність, нескінченність
Мить|hard|дуже короткий час|секунда, момент
Гармонія|hard|узгоджена рівновага частин|лад, злагода
Хаос|hard|повна невпорядкованість|безлад, сумʼяття
Символ|hard|знак прихованого значення|образ, знак
Метаморфоза|hard|глибоке перетворення форми|перетворення, зміна
Катастрофа|hard|велике руйнівне лихо|лихо, аварія
Парадокс|hard|суперечлива на вигляд думка|суперечність, дивина
Ілюзія|hard|оманливе сприйняття реальності|омана, міраж
Реальність|hard|дійсний стан речей|дійсність, факт
Фантазія|hard|вигаданий образ уяви|уявлення, вимисел
Алегорія|hard|образ із прихованим змістом|іносказання, символ
Утопія|hard|образ ідеального суспільства|ідеал, мрія
Антиутопія|hard|образ небезпечного майбутнього|застереження, дистопія
Енергія|hard|здатність виконувати роботу|сила, потужність
Субстанція|hard|основа існування речей|сутність, матерія
Матерія|hard|фізична основа світу|речовина, субстанція
Гравітація|hard|сила тяжіння між тілами|тяжіння, притягання
Атмосфера|hard|газова оболонка планети|повітря, оболонка
Всесвіт|hard|усе космічне існування|космос, світобудова
Галактика|hard|зоряна система|зорі, космос
Орбіта|hard|шлях руху небесного тіла|траєкторія, коло
Полюс|hard|крайня точка осі|край, точка
Екватор|hard|уявна лінія посеред Землі|паралель, лінія
Континент|hard|велика частина суші|материк, суша
Цивілізація|hard|розвинене людське суспільство|культура, суспільство
Імперія|hard|велика держава під владою|держава, царство
Демократія|hard|влада народу|народовладдя, самоврядування
Тиранія|hard|жорстока одноосібна влада|деспотія, диктатура
Аристократія|hard|влада привілейованої знаті|знать, еліта
Ідеологія|hard|система політичних поглядів|доктрина, світогляд
Революція|hard|різка зміна устрою|переворот, зміна
Еволюція|hard|поступовий розвиток|розвиток, зміна
Генетика|hard|наука про спадковість|спадковість, гени
Культура|hard|сукупність духовних надбань|традиції, мистецтво
Традиція|hard|звичай, переданий поколіннями|звичай, обряд
Ритуал|hard|усталена обрядова дія|обряд, церемонія
Міф|hard|давня образна оповідь|легенда, переказ
Легенда|hard|переказ про незвичайну подію|переказ, міф
Епос|hard|велика героїчна оповідь|сага, билина
Сатира|hard|висміювання в мистецтві|іронія, насмішка
Іронія|hard|прихована насмішка|сарказм, жарт
Метамова|hard|мова опису іншої мови|термінологія, опис
Архітектура|hard|мистецтво будування споруд|будівництво, зодчество
Система|hard|поєднання повʼязаних частин|структура, порядок
Теорія|hard|пояснювальна система знань|концепція, вчення
Гіпотеза|hard|попереднє наукове припущення|припущення, версія
Доказ|hard|підтвердження істинності|аргумент, свідчення
Філософія|hard|наука про сенс буття|мудрість, світогляд
Психологія|hard|наука про психіку|поведінка, свідомість
Логіка|hard|правила правильного мислення|мислення, послідовність
Інтуїція|hard|відчуття без міркування|чуття, здогад
Абстракція|hard|поняття без конкретної форми|узагальнення, ідея
Аксіома|hard|твердження без доведення|постулат, основа
Амбівалентність|hard|подвійність суперечливих почуттів|двоїстість, суперечність
Аналогія|hard|схожість між різними явищами|подібність, відповідність
Анархія|hard|відсутність керівної влади|безвладдя, хаос
Антагонізм|hard|гостра протилежність інтересів|протистояння, ворожнеча
Антитеза|hard|різке протиставлення понять|протилежність, контраст
Апокаліпсис|hard|образ кінця світу|катастрофа, кінець
Аргументація|hard|система доказових міркувань|докази, обґрунтування
Архетип|hard|первинний образ культури|прообраз, символ
Асиміляція|hard|поступове злиття культур|злиття, пристосування
Астрономія|hard|наука про небесні тіла|космос, зорі
Атеїзм|hard|заперечення існування богів|безбожництво, невіра
Біосфера|hard|сфера живих організмів|життя, природа
Бюрократія|hard|влада чиновницьких процедур|апарат, канцелярія
Вакуум|hard|простір без речовини|порожнеча, безповітряність
Вектор|hard|величина з напрямком|напрям, стріла
Вердикт|hard|остаточне судове рішення|вирок, рішення
Верифікація|hard|перевірка істинності|перевірка, підтвердження
Віртуальність|hard|штучна цифрова реальність|цифровість, симуляція
Гегемонія|hard|панівний вплив однієї сили|панування, перевага
Геноцид|hard|масове знищення народу|винищення, злочин
Геополітика|hard|політика простору і держав|вплив, стратегія
Глобалізація|hard|світове обʼєднання процесів|інтеграція, зближення
Гносеологія|hard|вчення про пізнання|пізнання, знання
Гуманізм|hard|світогляд цінності людини|людяність, антропоцентризм
Дедукція|hard|висновок від загального|логіка, висновок
Деградація|hard|погіршення стану або якості|занепад, руйнування
Детермінізм|hard|вчення про причинність|зумовленість, причинність
Дефініція|hard|точне визначення поняття|визначення, тлумачення
Диктатура|hard|необмежена влада однієї сили|тиранія, автократія
Дискурс|hard|сукупність висловлювань теми|обговорення, мова
Дисонанс|hard|порушення гармонії|розлад, невідповідність
Діалектика|hard|вчення про розвиток суперечностей|розвиток, суперечність
Дилема|hard|вибір між важкими варіантами|вибір, проблема
Доктрина|hard|система основних поглядів|вчення, концепція
Евристика|hard|метод пошуку рішення|пошук, здогад
Екзистенція|hard|людське особисте існування|буття, існування
