# text;difficulty;description;synonyms
Хліб;easy;випечений виріб з тіста;паляниця,буханець
Дім;easy;житло для людей;будинок,оселя,хата
Кіт;easy;домашня тварина з вусами;котик,мурчик
Пес;easy;домашній собака;собака,цуцик
Дитина;easy;маленька людина;малюк,дитя
Нога;easy;частина тіла для ходьби;кінцівка
Рука;easy;частина тіла для тримання;кінцівка
Око;easy;орган зору;
Вухо;easy;орган слуху;
Язик;easy;орган у роті;
Стіл;easy;меблі з поверхнею для роботи;столик
Стілець;easy;меблі для сидіння зі спинкою;стільчик
Двері;easy;рухома частина входу;дверцята
Мама;easy;мати дитини;матір,ненька
Тато;easy;батько дитини;батько
Сон;easy;відпочинок під час сну;
Сіль;easy;білий харчовий мінерал;
М’ясо;easy;їстівна частина тварини;
Суп;easy;рідка гаряча страва;юшка
Сік;easy;напій із фруктів або овочів;
Хата;easy;сільський житловий будинок;дім,будинок,оселя
Поле;easy;відкрита ділянка землі;нива
Ліс;easy;багато дерев на землі;гай
Гора;easy;високе природне підняття;
Озеро;easy;природна водойма без течії;
Річка;easy;водний потік у руслі;потік
Сад;easy;місце з плодовими деревами;
Друзі;easy;близькі товариші;товариші,приятелі
Гра;easy;розвага з правилами;
Дощ;easy;вода, що падає з хмар;злива
Сніг;easy;білі кристали льоду;
Вітер;easy;рух повітря;подув
День;easy;світла частина доби;
Ніч;easy;темна частина доби;
Ранок;easy;початок дня;світанок
Вечір;easy;кінець дня;сутінки
Сонце;easy;зоря нашої планети;
Зірка;easy;світило в нічному небі;зоря
Місяць;easy;супутник Землі;
Кітеня;easy;маленьке кошеня;кошеня
Щеня;easy;маленький собака;цуцик
Хвіст;easy;задня частина тіла тварини;
М’яч;easy;круглий предмет для гри;
Лялька;easy;іграшка у формі людини;
Машина;easy;автомобіль для поїздок;автомобіль,авто
Книга;easy;зшиті сторінки для читання;книжка
Квітка;easy;рослина з пелюстками;
Рибка;easy;маленька риба;
Яблуко;easy;круглий плід яблуні;
Груша;easy;солодкий плід груші;
Слива;easy;м’який плід сливи;
Вишня;easy;невелика червона ягода;
Черешня;easy;солодка ягода дерева;
Банан;easy;довгий жовтий фрукт;
Апельсин;easy;помаранчевий цитрусовий фрукт;помаранча
Лимон;easy;кислий жовтий фрукт;
Малина;easy;солодка червона ягода;
Горіх;easy;твердий їстівний плід;горішок
Ягода;easy;малий соковитий плід;
Кавун;easy;великий солодкий плід;
Диня;easy;солодкий баштанний плід;
Морква;easy;помаранчевий коренеплід;
Буряк;easy;червоний коренеплід;
Огірок;easy;зелений овоч;
Помідор;easy;червоний овоч;томат
Капуста;easy;овоч з листя;
Часник;easy;гостра пряна рослина;
Цибуля;easy;гострий овоч з шарами;
Картопля;easy;їстівна бульба;бульба
Риба;easy;водяна тварина з плавцями;
Курка;easy;домашня птиця;
Яйце;easy;оболонка з зародком птиці;
Сир;easy;молочний продукт;
Масло;easy;жирний молочний продукт;
Мед;easy;солодкий продукт бджіл;
Цукор;easy;солодкі білі кристали;
Печиво;easy;солодкий випечений виріб;
Торт;easy;великий солодкий десерт;
Халва;easy;солодощі з насіння;
Молоко;easy;білий напій від тварин;
Каша;easy;страва з крупи;
Хлопчик;easy;дитина чоловічої статі;
Дівчинка;easy;дитина жіночої статі;
Баба;easy;бабуся або стара жінка;бабуся
Дід;easy;дідусь або старий чоловік;дідусь
Сестра;easy;дівчина у тій самій родині;сестричка
Брат;easy;хлопець у тій самій родині;братик
Сім’я;easy;родина близьких людей;родина
Люди;easy;особи людського роду;народ
Голос;easy;звук мовлення людини;
Пісня;easy;музичний твір зі словами;
Танок;easy;рухи під музику;
Малюнок;easy;зображення на папері;
Олівець;easy;предмет для малювання;карандаш
Фарба;easy;кольорова речовина;
Папір;easy;тонкий матеріал для письма;
Школа;easy;місце для навчання;
Шапка;easy;головний убір;
Куртка;easy;верхній одяг;
Сорочка;easy;одяг для верхньої частини тіла;
Штани;easy;одяг для ніг;
Спідниця;easy;жіночий одяг нижче пояса;
Сукня;easy;жіночий суцільний одяг;
Черевик;easy;взуття для ноги;
Шкарпетка;easy;одяг для ступні;
Рукавичка;easy;одяг для руки;
Шарф;easy;тепла тканина на шию;
Пальто;easy;довгий верхній одяг;
Краватка;easy;вузька прикраса на шию;
Пояс;easy;стрічка для талії;
Чобіт;easy;високе взуття;
Кросівка;easy;спортивне взуття;
Піжама;easy;одяг для сну;
Костюм;easy;комплект одягу;
Фартух;easy;захисний одяг для роботи;
Купальник;easy;одяг для плавання;
Кепка;easy;козирковий головний убір;
Ліжко;easy;меблі для сну;постіль
Подушка;easy;м’яка річ під голову;
Ковдра;easy;тепле покривало для сну;покривало
Простирадло;easy;тканина на матрац;
Матрац;easy;м’яка основа ліжка;
Диван;easy;м’які меблі для сидіння;софа,канапа
Табурет;easy;стільчик без спинки;стільчик
Дзеркало;easy;скло, що відбиває зображення;люстро
Шафа;easy;меблі для зберігання речей;гардероб
Стілчик;easy;малий стілець;
Скатертина;easy;тканина на стіл;обрус
Лампа;easy;прилад для освітлення;світильник
Світло;easy;видиме освітлення;
Вікно;easy;отвір зі склом у стіні;
Штора;easy;тканина на вікні;завіса
Дверцята;easy;малі двері;двері
Ключ;easy;предмет для відкривання замка;
Замок;easy;пристрій для зачинення;
Килимок;easy;малий килим на підлозі;доріжка
Кухня;easy;кімната для приготування їжі;
Тарілка;easy;посудина для їжі;таріль
Чашка;easy;посудина для напою;горнятко,кухоль
Ложка;easy;прилад для їжі;
Вилка;easy;прилад з зубцями;виделка
Ніж;easy;ріжучий кухонний прилад;
Каструля;easy;посудина для варіння;баняк,казан
Ложечка;easy;мала ложка;
Банка;easy;скляна посудина;слоїк
Склянка;easy;посудина для пиття;стакан
Глечик;easy;посудина для рідини;дзбан
Миска;easy;глибока посудина;чаша
Сковорода;easy;посудина для смаження;пательня
Холодець;easy;м’ясна страва в желе;
Супниця;easy;посудина для супу;
Термос;easy;посудина для збереження тепла;
Пляшка;easy;посудина з вузькою шийкою;
Губка;easy;м’який предмет для миття;мочалка
Мило;easy;засіб для миття;
Вода;easy;прозора рідина;
Чай;easy;гарячий напій з листя;
Кава;easy;напій із кавових зерен;
Какао;easy;напій з какао-порошку;
Лимонад;easy;солодкий газований напій;
Узвар;easy;напій із сухофруктів;компот
Борщ;easy;буряковий суп;
Вареники;easy;вироби з тіста з начинкою;
Млинці;easy;тонкі вироби з тіста;налисники
Хлібець;easy;малий виріб із хліба;
Сухар;easy;висушений шматок хліба;
Кекс;easy;малий солодкий пиріг;
Булочка;easy;невелика випічка;
Макарони;easy;вироби з тіста;паста
Локшина;easy;тонкі смужки тіста;вермішель
Рис;easy;біла крупа;
Пшоно;easy;жовта крупа;
Манка;easy;дрібна пшенична крупа;
Горох;easy;круглі зерна бобової рослини;
Квасоля;easy;бобова рослина з зернами;
Яблучко;easy;маленьке яблуко;
Грушка;easy;маленька груша;
Сливка;easy;маленька слива;
Полуниця;easy;солодка червона ягода;
Чорниця;easy;дрібна темно-синя ягода;
Смородина;easy;кисла ягода гронами;
Агрус;easy;зелена кисла ягода;
Кавунець;easy;маленький кавун;
Динька;easy;маленька диня;
Морозиво;easy;холодний солодкий десерт;
Цукерка;easy;солодкий виріб;
Жуйка;easy;гумка для жування;гумка
Шоколадка;easy;плитка шоколаду;шоколад
Мармелад;easy;солодкі желейні ласощі;
Медок;easy;маленька порція меду;
Варення;easy;солодкі ягоди в сиропі;джем
Повидло;easy;густе фруктове варення;джем
Сирник;easy;солодкий виріб із сиру;
Оладки;easy;невеликі пухкі млинці;млинці
Автобус;easy;великий пасажирський транспорт;маршрутка
Поїзд;easy;транспорт на рейках;потяг
Трамвай;easy;міський транспорт на рейках;
Тролейбус;easy;електричний міський транспорт;
Метро;easy;підземний міський транспорт;підземка
Літак;easy;повітряний транспорт;аероплан
Корабель;easy;велике водне судно;судно
Човен;easy;мале водне судно;лодка
Велосипед;easy;двоколісний транспорт з педалями;ровер
Самокат;easy;транспорт із кермом і платформою;
Мотоцикл;easy;двоколісний моторний транспорт;байк
Віз;easy;транспорт із колесами;
Кінь;easy;велика свійська тварина для їзди;
Віл;easy;велика робоча свійська тварина;
Корова;easy;свійська тварина, що дає молоко;
Бик;easy;самець корови;
Телятко;easy;маленька корова або бик;
Коза;easy;свійська рогата тварина;
Козеня;easy;маленька коза;
Вівця;easy;свійська тварина з вовною;
Ягня;easy;маленька вівця;
Свиня;easy;свійська тварина;
Порося;easy;маленька свиня;
Півень;easy;самець курки;когут
Курча;easy;маленька курка;курчатко
Гусак;easy;самець гуски;
Гуска;easy;водоплавна свійська птиця;
Гусеня;easy;маленька гуска;
Качка;easy;водоплавна птиця;
Каченя;easy;маленька качка;
Індик;easy;велика свійська птиця;
Індичка;easy;самиця індика;
Собака;easy;домашня сторожова тварина;пес,цуцик
Кішка;easy;самиця кота;
Кошеня;easy;маленький кіт;котеня
Папуга;easy;птах, що може повторювати звуки;
Горобець;easy;малий міський птах;
Голуб;easy;птах із короткою шиєю;
Синиця;easy;малий жовтогрудий птах;
Ворона;easy;чорний або сірий птах;
Ластівка;easy;птах з довгими крилами;
Орел;easy;великий хижий птах;
Сова;easy;нічний хижий птах;
Жаба;easy;земноводна тварина;ропуха
Равлик;easy;молюск зі спіральною мушлею;слимак
Метелик;easy;комаха з великими крилами;
Бджола;easy;комаха, що робить мед;
Мураха;easy;маленька працьовита комаха;
Комар;easy;комаха, що кусає;
Муха;easy;дрібна літаюча комаха;
Павук;easy;тварина з вісьмома ногами;
Коник;easy;стрибуча зелена комаха;
Сонечко;easy;червона комаха з крапками;
Черепаха;easy;тварина з панциром;
Карась;easy;прісноводна риба;
Короп;easy;велика прісноводна риба;
Щука;easy;хижа прісноводна риба;
Сом;easy;велика риба з вусами;
Лящ;easy;прісноводна риба;
Акула;easy;велика хижа морська риба;
Дельфін;easy;розумний морський ссавець;
Кит;easy;найбільший морський ссавець;
Тюлень;easy;морський ссавець з ластами;
Морж;easy;морський ссавець з бивнями;
Пінгвін;easy;нелітаючий морський птах;
Ведмідь;easy;великий дикий звір;
Лисиця;easy;руда хижа тварина;
Вовк;easy;дикий хижий звір;
Заєць;easy;тварина з довгими вухами;
Їжак;easy;тварина з голками;
Білка;easy;тварина з пухнастим хвостом;
Олень;easy;рогата дика тварина;
Кабан;easy;дика свиня;дика свиня
Тигр;easy;смугастий хижий звір;
Лев;easy;великий хижий звір з гривою;
Жираф;easy;тварина з довгою шиєю;
Зебра;easy;смугаста тварина;
Бегемот;easy;велика водяна тварина;
Носоріг;easy;велика тварина з рогом;
Слон;easy;велика тварина з хоботом;
Кенгуру;easy;сумчаста стрибуча тварина;
Верблюд;easy;тварина з горбом;
Крокодил;easy;великий хижий плазун;
Мавпа;easy;примат з довгими руками;
Панда;easy;чорно-білий ведмідь;
Курчатко;easy;маленьке курча;курча
Горішок;easy;маленький горіх;горіх
Квіточка;easy;маленька квітка;
Зерно;easy;насінина рослини;
Сніжинка;easy;малий кристал снігу;крижинка
Крапля;easy;мала частина рідини;краплина
Хмара;easy;скупчення пари в небі;туча
Телефон;easy;пристрій для дзвінків;мобільник
Планшет;easy;сенсорний переносний комп’ютер;
Ноутбук;easy;переносний комп’ютер;
Комп’ютер;easy;електронний пристрій для роботи;ПК
Навушники;easy;пристрій для слухання;гарнітура
Камера;easy;пристрій для знімання фото;
Фото;easy;знімок з камери;світлина
Гаманець;easy;річ для грошей;портмоне
Рюкзак;easy;сумка на плечі;ранець
Пенал;easy;футляр для ручок;
Лінійка;easy;предмет для вимірювання довжини;
Гумка;easy;предмет для стирання олівця;ластик
Зошит;easy;зшиті аркуші для письма;
Альбом;easy;зошит для малювання або фото;
Маркер;easy;товстий кольоровий писальний предмет;фломастер
Фломастер;easy;кольоровий писальний предмет;маркер
Пензлик;easy;інструмент для фарби;
Клей;easy;речовина для склеювання;
Ножиці;easy;інструмент для різання;
Кубик;easy;іграшка у формі куба;
Конструктор;easy;набір деталей для складання;
Пазл;easy;картинка з частинок;головоломка
Барабан;easy;ударний музичний інструмент;
Гітара;easy;струнний музичний інструмент;
Скрипка;easy;струнний музичний інструмент зі смичком;
Піаніно;easy;клавішний музичний інструмент;
Мікрофон;easy;пристрій для підсилення голосу;
Телевізор;easy;пристрій для перегляду передач;
Пульт;easy;пристрій для керування технікою;
Холодильник;easy;прилад для охолодження їжі;
Праска;easy;прилад для прасування одягу;
Пилосос;easy;прилад для прибирання пилу;
Пральня;easy;місце або приладдя для прання;
Душ;easy;пристрій для миття водою;
Ванна;easy;велика посудина для купання;купіль
Рушник;easy;тканина для витирання;рушничок
Зуби;easy;тверді частини для жування;
Ніс;easy;частина обличчя для нюху;
Щока;easy;бічна частина обличчя;
Волосся;easy;волосяний покрив голови;чуприна
Палець;easy;частина руки або ноги;
Коліно;easy;суглоб посеред ноги;
Плече;easy;верхня частина руки;
Спина;easy;задня частина тулуба;
Живіт;easy;передня частина тулуба;черево
Серце;easy;орган, що качає кров;серденько
Лікар;easy;фахівець, що лікує людей;медик
Лікарня;easy;місце лікування людей;шпиталь
Аптека;easy;місце продажу ліків;фармація
Парк;easy;зелена зона для відпочинку;сквер
Майдан;easy;відкрита міська площа;площа
Гойдалка;easy;сидіння для гойдання;гойданка
Пісочниця;easy;місце для гри з піском;
Магазин;easy;місце продажу товарів;крамниця
Ринок;easy;місце торгівлі;базар
Вулиця;easy;дорога між будинками;
Дорога;easy;шлях для руху;шлях
Міст;easy;споруда через перешкоду;
Зупинка;easy;місце очікування транспорту;станція
Світлофор;easy;пристрій з сигналами руху;семафор
Таксі;easy;найманий автомобіль;
Потяг;easy;транспорт на рейках;поїзд
Стадіон;easy;місце для спортивних ігор;арена
Футбол;easy;командна гра з м’ячем;
Баскетбол;easy;гра з м’ячем і кошиком;
Теніс;easy;гра з ракетками;
Шахи;easy;настільна гра з фігурами;
Казка;easy;вигадана розповідь;оповідка
Лист;easy;письмове повідомлення;послання
Фотоальбом;easy;альбом для фотографій;
Подарунок;easy;річ, яку дарують;дарунок
Свято;easy;особливий радісний день;торжество
Тістечко;easy;малий солодкий десерт;
Йогурт;easy;кисломолочний продукт;кефір
Сосиска;easy;маленький ковбасний виріб;
Ковбаса;easy;м’ясний виріб у оболонці;
Салат;easy;страва з нарізаних продуктів;
Гарбуз;easy;великий помаранчевий овоч;
Кабачок;easy;довгастий зелений овоч;
Перець;easy;овоч з порожниною всередині;паприка
Виноград;easy;солодкі ягоди в гронах;
Абрикос;easy;помаранчевий кісточковий фрукт;
Персик;easy;м’який солодкий фрукт;
Мандарин;easy;малий помаранчевий цитрус;
Ананас;easy;тропічний плід з лускою;
Кокос;easy;тропічний горіх з молоком;
Парасолька;easy;річ для захисту від дощу;
Калюжа;easy;вода на землі після дощу;лужа
Веселка;easy;кольорова дуга в небі;райдуга
Пісок;easy;дрібні частинки каменю;
Земля;easy;ґрунт під ногами;
Камінь;easy;твердий природний шматок;
Палиця;easy;довгий дерев’яний предмет;дрюк
Листок;easy;частина рослини;лист
Дерево;easy;висока рослина зі стовбуром;
Кущ;easy;низька рослина з гілками;
Трава;easy;низька зелена рослина;зелень
Бокал;easy;скляна посудина на ніжці;келих
Келих;easy;посудина для напоїв на ніжці;бокал
Тарілочка;easy;мала тарілка;
Серветка;easy;тканина або папір для витирання;
Ручка;easy;предмет для письма;писало
Підручник;easy;навчальна книга;
Щоденник;easy;зошит для записів;
Парта;easy;шкільний стіл;стіл
Дошка;easy;поверхня для письма в класі;
Крейда;easy;білий матеріал для дошки;
Ранець;easy;шкільний рюкзак;
Ластик;easy;предмет для стирання олівця;гумка
Будинок;easy;споруда для проживання;дім,оселя,хата
Квартира;easy;житло в багатоповерховому будинку;помешкання,житло
Кімната;easy;окреме приміщення в житлі;покій
Коридор;easy;прохід між кімнатами;
Балкон;easy;відкрита частина квартири;
Сходи;easy;ступені між поверхами;
Стеля;easy;верхня частина кімнати;
Підлога;easy;нижня частина кімнати;
Стіна;easy;вертикальна частина будівлі;
Дах;easy;верхнє покриття будинку;
Ворота;easy;великі двері на подвір’я;брама
Паркан;easy;огорожа навколо місця;огорожа
Лавка;easy;місце для сидіння;скамниця
Ліхтар;easy;пристрій для освітлення;світильник
Пошта;easy;місце відправлення листів;
Банкомат;easy;пристрій для видачі грошей;
Квиток;easy;документ для поїздки чи входу;білет
Гроші;easy;засіб для оплати;кошти
Монета;easy;металеві гроші;
Купюра;easy;паперові гроші;банкнота
Документ;easy;офіційний папір;
Паспорт;easy;документ особи;посвідчення
Валіза;easy;сумка для подорожей;чемодан
Чемодан;easy;валіза для речей;валіза
