# text|difficulty|description|synonyms
Піца|medium|кругла страва з тіста|страва, корж, випічка
Бібліотека|medium|місце з книжками для читання|книгозбірня, читальня
Вулкан|medium|гора з лавою всередині|жерло, кратер
Космос|medium|простір за межами Землі|всесвіт, простір
Пірат|medium|морський розбійник на кораблі|розбійник, корсар
Гриб|medium|лісовий організм з шапкою|печериця, боровик
Магніт|medium|предмет що притягує метал|притягувач
Театр|medium|місце для сценічних вистав|сцена, вистава
Чемпіон|medium|переможець змагання|переможець, лідер
Гармата|medium|велика зброя для снарядів|пушка, артилерія
Інтернет|medium|світова комп'ютерна мережа|мережа, веб
Капітан|medium|головний на кораблі|командир, керівник
Губка|medium|пористий предмет для миття|мочалка
Акула|medium|велика хижа морська риба|хижа риба
Тостер|medium|прилад для підсмаження хліба|пристрій, пічка
Печера|medium|порожнина всередині скелі|грот, підземелля
Скелет|medium|кісткова основа тіла|кістяк
Кукурудза|medium|рослина з жовтими зернами|качан, зерно
Робот|medium|машина що виконує дії|автомат, механізм
Килим|medium|ткане покриття для підлоги|доріжка, покриття
Пензель|medium|інструмент для малювання фарбою|щітка, квач
Молекула|medium|найменша частинка речовини|частинка, сполука
Глобус|medium|модель земної кулі|модель, куля
Ліхтарик|medium|ручний переносний світильник|ліхтар, світильник
Стеля|medium|верхня частина кімнати|верх, перекриття
Гармонія|medium|узгодженість частин між собою|злагода, лад
Секунда|medium|коротка одиниця часу|мить, момент
Ракета|medium|літальний апарат з двигуном|снаряд, корабель
Мураха|medium|дрібна працьовита комаха|комаха
Портфель|medium|сумка для документів|сумка, кейс
Бджола|medium|комаха що робить мед|комаха, медонос
Телескоп|medium|прилад для спостереження зірок|зорова труба
Парасолька|medium|річ для захисту від дощу|зонт
Хмара|medium|скупчення водяної пари в небі|облако, туча
Відро|medium|посудина з ручкою для рідини|ємність, посудина
Пісочниця|medium|місце з піском для дітей|майданчик, пісок
Секрет|medium|прихована від інших інформація|таємниця, загадка
Вежа|medium|висока вузька споруда|башта, споруда
Перо|medium|пташиний покрив або ручка|пір'їна, ручка
Сфінкс|medium|міфічна істота або статуя|статуя, істота
Екран|medium|поверхня для зображення|дисплей, монітор
Хвиля|medium|рух води або коливання|вал, коливання
Іграшка|medium|предмет для дитячої гри|забавка
Камінь|medium|твердий шматок породи|скеля, уламок
Перемога|medium|успіх у боротьбі чи грі|виграш, тріумф
Окуляри|medium|оптика для кращого зору|лінзи, оправа
Слон|medium|велика тварина з хоботом|тварина, велетень
Лабіринт|medium|заплутана система проходів|плутанина, ходи
Рюкзак|medium|сумка що носять на спині|ранець, наплічник
Острів|medium|суша оточена водою|земля, атол
Ковдра|medium|тепле покривало для сну|плед, покривало
Вогонь|medium|полум'я від горіння|полум'я, жар
Бумеранг|medium|вигнутий предмет що повертається|метальна палиця
Листівка|medium|картка для привітання|картка, поштівка
Сковорідка|medium|посудина для смаження|пательня
Дракон|medium|казкова крилата істота|змій, чудовисько
Колесо|medium|кругла деталь для руху|шина, обід
Лисиця|medium|руда хижа тварина|звір, хижак
Дзеркало|medium|поверхня що відбиває зображення|відбивач, скло
Квітка|medium|рослина з пелюстками|квітина, рослина
Риба|medium|водна тварина з плавцями|риба, водяна тварина
Гарбуз|medium|великий помаранчевий овоч|овоч, тиква
Ластівка|medium|птах з роздвоєним хвостом|птах
Вікно|medium|отвір зі склом у стіні|шибка, рама
Історія|medium|розповідь або минулі події|оповідь, минуле
Крокодил|medium|великий зубатий плазун|плазун, алігатор
Шахи|medium|настільна гра з фігурами|гра, фігури
Місяць|medium|супутник Землі або період|супутник, місяць
Квітник|medium|ділянка з квітами|клумба, садок
Вертоліт|medium|літальний апарат з гвинтом|гелікоптер
Черепаха|medium|повільна тварина з панциром|плазун, тварина
Тінь|medium|темна ділянка без світла|силует, затемнення
Скатертина|medium|тканина для накриття столу|обрус
Печиво|medium|солодкий випечений виріб|солодощі, випічка
Полуниця|medium|червона солодка ягода|ягода
Телефон|medium|пристрій для зв'язку|мобільник, слухавка
Комета|medium|небесне тіло з хвостом|зоря, тіло
